index,TCP_Number,Year,cleaned_year
3625,A12070,1575,1575
3626,A12071,1624,1624
3627,A12072,1610,1610
3628,A12074,1607,1607
3629,A12078,1607,1607
3630,A12085,1638,1638
3631,A12087,1639,1639
3632,A12099,1635,1635
3633,A12100,1602,1602
3634,A12110,1570,1570
3635,A12119,1613,1613
3636,A12121,1550,1550
3637,A12123,1555,1555
3638,A12125,1635,1635
3639,A12127,1638,1638
3640,A12128,1633,1633
3641,A12129,1632,1632
3642,A12130,1640,1640
3643,A12131,1633,1633
3644,A12133,1640,1640
3645,A12135,1638,1638
3646,A12136,1637,1637
3647,A12137,1637,1637
3648,A12138,1630,1630
3649,A12140,1637,1637
3650,A12141,1640,1640
3651,A12142,1637,1637
3652,A12143,1640,1640
3653,A12145,1640,1640
3654,A12148,1640,1640
3655,A12149,1640,1640
3656,A12150,1638,1638
3657,A12151,1640,1640
3658,A12152,1631,1631
3659,A12154,1635,1635
3660,A12155,1629,1629
3661,A12157,1633,1633
3662,A12158,1637,1637
3663,A12166,1639,1639
3664,A12167,1639,1639
3665,A12168,1639,1639
3666,A12170,1638,1638
3667,A12171,1630,1630
3668,A12177,1639,1639
3669,A12178,1637,1637
3670,A12180,1639,1639
3671,A12181,1638,1638
3672,A12182,1640,1640
3673,A12183,1639,1639
3674,A12184,1639,1639
3675,A12185,1638,1638
3676,A12186,1638,1638
3677,A12187,1638,1638
3678,A12191,1638,1638
3679,A12194,1638,1638
3680,A12197,1634,1634
3681,A12198,1635,1635
3682,A12202,1640,1640
3683,A12203,1637,1637
3684,A12205,1636,1636
3685,A12209,1639,1639
3686,A12210,1638,1638
3687,A12211,1622,1622
3688,A12224,1595,1595
3689,A12226,1591,1591
3690,A12229,1590,1590
3691,A12231,1593,1593
3692,A12245,1635,1635
3693,A12248,1514,1514
3694,A12268,1620,1620
3695,A12269,1630,1630
3696,A12272,1631,1631
3697,A12273,1588,1588
3698,A12275,1513,1513
3699,A12276,1545,1545
3700,A12281,1499,1499
3701,A12282,1545,1545
3702,A12284,1623,1623
3703,A12285,1545,1545
3704,A12290,1528,1528
3705,A12291,1568,1568
3706,A12293,1523,1523
3707,A12295,1527,1527
3708,A12296,1624,1624
3709,A12297,1545,1545
3710,A12301,1567,1567
3711,A12302,1589,1589
3712,A12308,1640,1640
3713,A12313,1636,1636
3714,A12317,1621,1621
3715,A12318,1631,1631
3716,A12319,1619,1619
3717,A12327,1640,1640
3718,A12329,1566,1566
3719,A12330,1629,1629
3720,A12340,1680,1680
3721,A12341,1591,1591
3722,A12343,1589,1589
3723,A12345,1591,1591
3724,A12347,1591,1591
3725,A12348,1591,1591
3726,A12350,1591,1591
3727,A12351,1593,1593
3728,A12360,1637,1637
3729,A12361,1595,1595
3730,A12363,1595,1595
3731,A12365,1591,1591
3732,A12366,1591,1591
3733,A12367,1591,1591
3734,A12369,1591,1591
3735,A12371,1591,1591
3736,A12373,1592,1592
3737,A12376,1590,1590
3738,A12381,1592,1592
3739,A12384,1630,1630
3740,A12386,1593,1593
3741,A12389,1594,1594
3742,A12390,1591,1591
3743,A12392,1591,1591
3744,A12399,1590,1590
3745,A12406,1593,1593
3746,A12429,1599,1599
3747,A12455,1626,1626
3748,A12458,1631,1631
3749,A12460,1616,1616
3750,A12461,1624,1624
3751,A12466,1612,1612
3752,A12467,1620,1620
3753,A12469,1627,1627
3754,A12470,1608,1608
3755,A12471,1630,1630
3756,A12472,1595,1595
3757,A12473,1629,1629
3758,A12475,1607,1607
3759,A12478,1632,1632
3760,A12480,1602,1602
3761,A12481,1632,1632
3762,A12531,1601,1601
3763,A12533,1583,1583
3764,A12535,1589,1589
3765,A12545,1605,1605
3766,A12547,1573,1573
3767,A12548,1615,1615
3768,A12550,1596,1596
3769,A12562,1540,1540
3770,A12565,1606,1606
3771,A12567,1590,1590
3772,A12568,1594,1594
3773,A12575,1570,1570
3774,A12577,1592,1592
3775,A12578,1592,1592
3776,A12581,1587,1587
3777,A12586,1615,1615
3778,A12587,1564,1564
3779,A12588,1492,1492
3780,A12596,1607,1607
3781,A12598,1640,1640
3782,A12599,1625,1625
3783,A12601,1592,1592
3784,A12603,1633,1633
3785,A12609,1603,1603
3786,A12610,1612,1612
3787,A12614,1634,1634
3788,A12621,1613,1613
3789,A12622,1587,1587
3790,A12625,1600,1600
3791,A12628,1591,1591
3792,A12633,1595,1595
3793,A12634,1595,1595
3794,A12649,1622,1622
3795,A12650,1595,1595
3796,A12654,1612,1612
3797,A12672,1567,1567
3798,A12675,1551,1551
3799,A12677,1593,1593
3800,A12679,1588,1588
3801,A12689,1623,1623
3802,A12690,1599,1599
3803,A12716,1620,1620
3804,A12718,1627,1627
3805,A12721,1601,1601
3806,A12738,1611,1611
3807,A12750,1616,1616
3808,A12763,1616,1616
3809,A12772,1595,1595
3810,A12773,1595,1595
3811,A12774,1591,1591
3812,A12777,1590,1590
3813,A12778,1596,1596
3814,A12781,1596,1596
3815,A12782,1579,1579
3816,A12787,1580,1580
3817,A12815,1635,1635
3818,A12816,1635,1635
3819,A12817,1640,1640
3820,A12819,1612,1612
3821,A12820,1615,1615
3822,A12821,1611,1611
3823,A12824,1633,1633
3824,A12827,1581,1581
3825,A12856,1495,1495
3826,A12860,1518,1518
3827,A12878,1509,1509
3828,A12899,1560,1560
3829,A12923,1556,1556
3830,A12934,1608,1608
3831,A12939,1565,1565
3832,A12940,1567,1567
3833,A12943,1566,1566
3834,A12945,1536,1536
3835,A12954,1613,1613
3836,A12956,1615,1615
3837,A12957,1615,1615
3838,A12958,1552,1552
3839,A12966,1586,1586
3840,A12968,1633,1633
3841,A12969,1575,1575
3842,A12971,1599,1599
3843,A12973,1579,1579
3844,A13001,1599,1599
3845,A13010,1640,1640
3846,A13014,1640,1640
3847,A13017,1640,1640
3848,A13026,1557,1557
3849,A13027,1557,1557
3850,A13030,1565,1565
3851,A13042,1618,1618
3852,A13043,1580,1580
3853,A13049,1598,1598
3854,A13053,1633,1633
3855,A13054,1640,1640
3856,A13057,1612,1612
3857,A13064,1582,1582
3858,A13065,1591,1591
3859,A13068,1595,1595
3860,A13069,1596,1596
3861,A13070,1598,1598
3862,A13075,1628,1628
3863,A13078,1632,1632
3864,A13082,1628,1628
3865,A13083,1633,1633
3866,A13085,1590,1590
3867,A13086,1583,1583
3868,A13091,1583,1583
3869,A13094,1592,1592
3870,A13102,1585,1585
3871,A13103,1593,1593
3872,A13104,1592,1592
3873,A13105,1585,1585
3874,A13106,1581,1581
3875,A13109,1579,1579
3876,A13110,1618,1618
3877,A13114,1538,1538
3878,A13122,1582,1582
3879,A13123,1640,1640
3880,A13125,1638,1638
3881,A13126,1606,1606
3882,A13127,1625,1625
3883,A13128,1640,1640
3884,A13144,1640,1640
3885,A13171,1625,1625
3886,A13172,1629,1629
3887,A13174,1606,1606
3888,A13179,1600,1600
3889,A13183,1620,1620
3890,A13187,1604,1604
3891,A13192,1601,1601
3892,A13202,1609,1609
3893,A13203,1530,1530
3894,A13217,1635,1635
3895,A13219,1632,1632
3896,A13221,1632,1632
3897,A13240,1615,1615
3898,A13256,1548,1548
3899,A13273,1620,1620
3900,A13279,1620,1620
3901,A13294,1624,1624
3902,A13295,1620,1620
3903,A13296,1613-1616,1616
3904,A13297,1579,1579
3905,A13299,1631,1631
3906,A13300,1596,1596
3907,A13306,1615,1615
3908,A13307,1604,1604
3909,A13309,1572,1572
3910,A13319,1560,1560
3911,A13320,1590,1590
3912,A13324,1615,1615
3913,A13326,1631,1631
3914,A13333,1598,1598
3915,A13358,1594,1594
3916,A13370,1598,1598
3917,A13371,1540,1540
3918,A13375,1592,1592
3919,A13376,1638,1638
3920,A13377,1590,1590
3921,A13380,1570,1570
3922,A13383,1599,1599
3923,A13386,1594,1594
3924,A13392,1588,1588
3925,A13393,1640,1640
3926,A13394,1604,1604
3927,A13395,1640,1640
3928,A13396,1600,1600
3929,A13397,1539,1539
3930,A13398,1534,1534
3931,A13399,1539,1539
3932,A13401,1542,1542
3933,A13409,1534,1534
3934,A13414,1638,1638
3935,A13415,1630,1630
3936,A13417,1627,1627
3937,A13419,1622,1622
3938,A13421,1635,1635
3939,A13422,1639,1639
3940,A13423,1636,1636
3941,A13424,1618,1618
3942,A13427,1622,1622
3943,A13429,1638,1638
3944,A13431,1637,1637
3945,A13432,1630,1630
3946,A13436,1631,1631
3947,A13438,1640,1640
3948,A13439,1639,1639
3949,A13441,1628,1628
3950,A13442,1637,1637
3951,A13444,1613,1613
3952,A13445,1620,1620
3953,A13446,1615,1615
3954,A13447,1627,1627
3955,A13448,1625,1625
3956,A13451,1625,1625
3957,A13454,1612,1612
3958,A13456,1630,1630
3959,A13457,1622,1622
3960,A13458,1613,1613
3961,A13460,1636,1636
3962,A13461,1639,1639
3963,A13462,1619,1619
3964,A13463,1624,1624
3965,A13466,1620,1620
3966,A13468,1625,1625
3967,A13471,1639,1639
3968,A13472,1630,1630
3969,A13473,1631,1631
3970,A13474,1615,1615
3971,A13477,1638,1638
3972,A13478,1623,1623
3973,A13479,1614,1614
3974,A13481,1613,1613
3975,A13482,1635,1635
3976,A13484,1639,1639
3977,A13485,1618,1618
3978,A13486,1623,1623
3979,A13487,1621,1621
3980,A13492,1638,1638
3981,A13493,1612,1612
3982,A13495,1621,1621
3983,A13497,1638,1638
3984,A13498,1621,1621
3985,A13499,1622,1622
3986,A13500,1621,1621
3987,A13501,1622,1622
3988,A13502,1638,1638
